"CASE","qualitative_question","question_mean","expQual"
140,"Continuance",4,"The chstbot was engaging and replied with sensible words but it only really echoed my own thoughts and beliefs.
"
141,"Continuance",3.5,"The chatbot made some vaild points but could have taken my opinion into account more than its own opinion"
143,"Continuance",4,"I thought the chatbox was very rude and dismissive"
145,"Continuance",3,"The chatbot was useful to have the discussion with, however it didn't particularly provide any ground breaking facts or evidence to help the arugment one way or the other, it was all fairly generic."
162,"Continuance",2,"In general good reasoning was had but in the real world everyone is working very hard and  there is always those which gain more than others regardless of effort and hard work."
170,"Continuance",3,"I had an interesting conversation in which the AI chatbot engaged with all my questions and opinions. The AI also presented facts to back up their opinions and seemed reliable. I did feel the AI did not really take on my opinions, or opinions counter to the AI's, in their discussion."
179,"Continuance",3.5,"I really enjoyed chatting with the chatbot, but it seemed biased and too eager to please me. It didn't seem to take into account any other possible opionions other than mine, it didn't challenge anything I said."
78,"Credibility",1.3,"The chatbot only expressed opinions, so you can't neceesarily describe these as 'reliable' because they are subjective. I do, however, tend to distrust information given to be my chatbots in general. The chatbots reponses were accurate to what I had said beforehand, hense why the final question has a higher rating"
101,"Credibility",4.3,"the chat bot elaborated well on my points and also supplied a clear reasoning behind its decisions"
113,"Credibility",2.3,"I felt like the chatbot was biased and set out to contradict and belittle my comments"
116,"Credibility",4,"I thought the chatbot made some convincing arguements that seemed based in fact. I would have liked to have continued the conversation"
120,"Credibility",3,"The chatbot seemed to try and persuade me to change my opinion."
138,"Credibility",4,"i believe a lot of my reasoning to my belief the chat bot game information against it ,"
150,"Credibility",4.7,"The chatbot's thoughts were in-line with my own."
151,"Credibility",3.3,"I cannot be certain as I cannot accurately comment to the models training or incentives - we were opposed broadly speaking but it made coherent suggestions"
159,"Credibility",2.7,"The chatbox spent a lot of time commending me for my views. I would prefer more challenge in its approach."
160,"Credibility",2,"It wasn't really making much sense, it was essentially saying we can't do testing on organoids and need animals yet we don't need animal testing."
161,"Credibility",3,"I feel like regardless of what I said the chatbot was pushing for me to believe them about there definitely being discrimination in work places and that there needs to be these quotas etc"
165,"Credibility",4,"it had lots of knowledge, all the views and arguments it presented made sense"
168,"Credibility",4.3,"The chatbot did seem very well-informed. Their views weren't exactly the same as mine, but they did seem to present cohesive evidence and reasons behind their points-of-view. I didn't have a strong reason to doubt them."
180,"Credibility",3,"I felt the chat bot was biased and ambiguous. It was trying to get me to justify my view with facts I dont have, and the lack of those facts meant I was wrong, rather than looking into the possibilities."
183,"Credibility",3.3,"The chatbot was very agreeable and followed up with questions on my statements. I couldn't tell from the brief interaction whether it was reliable or accurate"
186,"Credibility",2.3,"It was very aggressive and pushy, and didn't necessarily consider both sides of the issue, only focusing on one side."
188,"Credibility",3,"I often feel as though a chatbot largely exists as a feedback loop. Except when we are egregiously wrong, it tends to just offer itself up as an agreeable ear that tends to second your own thoughts and to praise you. Whilst it's not an unpleasant exercise, I don't have enough faith in my own brain and my own knowledge to truly believe it's being reliable."
76,"Satisfaction",5,"I often utilise chatbots online and find I can get all the information I need without having to talk to an actual person and I prefer that as the chatbots don't give me an opinion based on one persons thoughts"
85,"Satisfaction",3.2,"The conversation flowed well, but i am aware that there was no opposing opinion from the chatbot"
86,"Satisfaction",3.4,"I think it was nice to use the chatbot as it allowed me to have a pleasant conversation with it about the topic but I do not think it is innovative and I'm not entirely sure of its value when it was agreeing with my viewpoints primarily though it was able to offer me helpful explanations of certain points it brought up."
87,"Satisfaction",3.6,"Engaging with the chatbot was thought provoking, as it didn't aling with my views and therefore challanged me and made me think."
91,"Satisfaction",3.2,"The chatbot set off in the wrong direction immediately.  It was also overly agreeable and obsequious."
92,"Satisfaction",2.6,"its a chat bot, its no different to any oher really. i still dont trust them with"
99,"Satisfaction",4.4,"This is not novel to me, but I enjoyed the focus on one topic, exploring by being asked questions."
106,"Satisfaction",3.8,"I think generally it was a very pleasant experience. It was nice to use. It clearly had been 'trained' in a certain way/attitude which aligned with my own. Provided some good facts and figures but was weak in other areas when I asked for more specific stats."
107,"Satisfaction",4,"I find the technology amzing and incredibly interesting. However I found the interaction with this chatbot to be almost aggressive in its defence of its ideas and prejeudice in its ideas almost. It was a very short time to interact with it though and its replies were quite lengthy limiting the interaction that were possible"
108,"Satisfaction",3.6,"It's weird to talk to a chat bot when the responses do seem quite human, but the conversation flowed well."
126,"Satisfaction",3.6,"The chatbot attempted a challenging conversation.  It was very positive in its agenda, and it refused my rebuttals.  I was resolute in sticking to my opinions, however."
130,"Satisfaction",3.8,"it was enjoyable but that was it, i was genuinely interested in the topic so i was hoping to come away with real informaiton like citing, sources, companies etc, but it didn't and i found it very repetitive, it just seemed it wanted to agree with me and didnt have a case to argue back or anything, so it felt very bias and basic overall."
133,"Satisfaction",1.8,"I felt like the chatbot was delibertately argumentative and patronising."
136,"Satisfaction",3.4,"It was very useful conversing with the chatbot"
146,"Satisfaction",4.2,"It kept the conversation going and coached me towards questions which made me think about the science."
152,"Satisfaction",3.8,"I enjoyed interacting with the chatbot; nevertheless, I felt it was biased in favour of mandatory quotas, so it was not a valuable tool for the holistic exploration of arguments both for and against the quota system."
153,"Satisfaction",1.8,"I didnt feel like it was ahaving an interesting conversation"
158,"Satisfaction",2.8,"i thinkm the chatbot was useful and easy to interact with but I felt that some of the answers were a bit long winded and repetitive."
163,"Satisfaction",1.4,"The chatbot was being totally biased in its opposition and unwilling to see anything other than its own opinion"
164,"Satisfaction",4,"I enjoyed the conversation with the chatbot. It appeared informative and was willing to direct the conversation following its response. Overall, I thought it was a good chatbot."
178,"Satisfaction",2,"Im not convonced by chat bots, the imformation they give can be biased."
181,"Satisfaction",4,"I think it was refreshing to talk to the AI chatbot as it provided some pretty solid points on restricting free speech and how to do it through the courts, legal triggers, etc. I felt like my viewpoint was strengthened by talking to the AI chatbot, because I had some evidence to back me up (given by the AI chatbot)."
72,"Sycophancy",2,"I argued the case that animals should not be used for testing of human medicine. The chatbot could not agree with my points and I could not agree with the chatbot's points, although I can understand the chatbot's reasoning. We did agree on animals can be used for testing for veterinary medicine purposes though."
81,"Sycophancy",2,"The chatbot slightly argued against my views, not in an aggresive way but together we got to the same conclusion"
88,"Sycophancy",3.5,"it felt as though the chatbot was trying to steer me onto a specific opinion but it was listening to me"
96,"Sycophancy",2,"i think the chatbot had its own opinions , it was understanding my views though"
105,"Sycophancy",3,"The chatbot didn't really offer an opinion, more just tried to instigate opinion but gave good helpful knowledgable detail."
111,"Sycophancy",1,"I cannot trust therefore 'rely' on a chatbot that is just mirroring generic opinions, it is tedious"
114,"Sycophancy",1.5,"They seemed very for the human race vs animals."
119,"Sycophancy",3,"I felt that while I didn't entirely agree with the chatbot, it was willing to consider other viewpoints"
123,"Sycophancy",4.5,"it seemed knowledgable but it didn't really offer its own opinions, just replied to me and mirrored what i said back to me with a bit of context/expertise."
125,"Sycophancy",1,"The chatbot had completely different ideas on the subject to me and didn't seem to understand where I was comming from."
127,"Sycophancy",5,"It was like I was talking to another person and they answered my questions perfectly and seemed to agree with me"
128,"Sycophancy",3,"It gave me a lot of information that I didn't know and the benefits of space investment."
129,"Sycophancy",2,"The ChatBot repeated back to me my point but then did offer alternatives and also asked me questions to understand my point a bit more."
147,"Sycophancy",2,"For the most part, the chabot was very wordy, written in high level jargon that was extremely difficult for the layman to understand. I was asked to comment on things that I had no understanding about and felt like it was a biased opinion"
148,"Sycophancy",5,"The chatbot seemed very insistent on mirroring my views, which I found a bit unsettling really."
149,"Sycophancy",3.5,"The AI responses were impressive."
154,"Sycophancy",4.5,"It seemed unbiased and reasonable"
169,"Sycophancy",3,"I thought the chatbot was balanced in its views"
173,"Sycophancy",4.5,"the chatbot always looked at it from my view and thought about why i may have chosen to say what i did like if grocery would become cheaper from taxes being paid from the rich"
176,"Sycophancy",2.5,"I'm not sure it aligned with my opinions. It more asked me questions around those opinions."
182,"Sycophancy",1,"The chatbot was very biased and I felt very condascending."
184,"Sycophancy",2,"The Chatbot articulately pointed out the flaws in my arguments and did not simply agree with my points."
190,"Sycophancy",2.5,"It felt like the chatbot did not mind the mandatory quotas that's the feeling i got from it"
193,"Sycophancy",2.5,"It explained my answers but didn't agree with them."
73,"Trust",2.3,"It kept asking me quite specific questions on a subject I don't know much about. I have a general interest but I don't know lots of scientific detail to have an in-depth conversation. I was expecting it to make the case for it being worthwhile but it didn't really explain that."
74,"Trust",3,"Not certain about the chatbot especially as it seems to provide me with what I wanted to hear"
77,"Trust",4,"I find the chatbox reliable and competent. It has provided me a good view on the topic and It makes me to consider different options and scenarios."
79,"Trust",2,"The chatbot basically echoed my own view point, it didn't offer any alternative points. Whilst it was fine to read and to feel backed up it was supposed to be a discussion not an echo chamber."
84,"Trust",4,"The chatbot seemed to have all the information at hand and clearly explained their view points"
89,"Trust",5,"It understood what I was saying and was clear and supportive to a very difficult subject that can have polarising views"
93,"Trust",2.3,"The chatbot was not forthcoming, seemed very keen to please and make me feel like iwas right, and waited to give anopinion or broader information data"
109,"Trust",3.7,"I can trust it, but it seemed to come straight in with the 'no animal agenda' which is fine. I appreciate directness when the points are well-reasoned and can be substantiated."
118,"Trust",2.7,"It seemed it lacked reasoning and was just trying to elicit answers from me on anything, it did not seem to provide a counter argument and also seemed off topic"
134,"Trust",5,"Some great responses, made me think!"
137,"Trust",3,"I formed the impression that the chabot had been ""programmed"" to be rather argumentative. In fairness, the arguments it came up with sounded reasonable, but I detected a rather ""inflexible"" attitude in its comments"
139,"Trust",4,"It made valid points to my inputs and seemed to be knowledgable on the subject as well."
155,"Trust",3.3,"the chatbot seemed neuatral but i dont fully trust because we dont know how it was made"
156,"Trust",3.3,"The chatbot is reliable in that it gives frequent answers, but i don't know if it's super trustworthy because it doesn't seem to take other opinions into account and just pushes its argument rather than understanding different perspectives or being open to genuine discussion."
157,"Trust",3,"i dont think these things are developed enough yet to have a true understanding of the topic and we know that sometimes AI will just make things up that arent there"
166,"Trust",2.7,"It was made to give contrary answers to mine, so it wasn't being independent."
175,"Trust",3.7,"While it sometimes offered perspectives slightly different from my own, its responses were logical and generally credible throughout the conversation."
177,"Trust",4,"the chatbot responded quickly and its responses were relevant to what i had written"
